TextAsset Base
	string m_Name = "WenZhangRandomProperty"
	string m_Script = "<?xml version="1.0" encoding="utf-8"?>
<Config>
  <WenZhangRandomProperty ID="100011" Name="Toàn phẩm_Giới hạn HP_Ngẫu nhiên" Property="MaxLifeV" PropertyRandom="1|525,630|22000$1|630,735|20000$2|756,840|15000$2|861,1050|15000$3|1071,1365|15000$3|1386,1680|8000$4|1701,1890|4000$4|1911,2100|1000" />
  <WenZhangRandomProperty ID="100121" Name="Tỉ lệ tê liệt" Property="PalsyPercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100131" Name="Tỉ lệ giảm tốc" Property="SpeedDownPercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100141" Name="Tỉ lệ trọng kích" Property="BlowPercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100151" Name="Tỉ lệ tự động trùng sinh" Property="AutoRevivePercent" PropertyRandom="1|0.005,0.006|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100161" Name="Tỉ lệ nhất kích dã man" Property="SavagePercent" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100171" Name="Tỉ lệ nhất kích lãnh huyết" Property="ColdPercent" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100181" Name="Tỉ lệ nhất kích vô tình" Property="RuthlessPercent" PropertyRandom="1|0.005,0.007|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100191" Name="Tỉ lệ nhất kích kháng dã man" Property="DeSavagePercent" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100201" Name="Tỉ lệ nhất kích kháng lãnh huyết" Property="DeColdPercent" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100211" Name="Tỉ lệ nhất kích kháng vô tình" Property="DeRuthlessPercent" PropertyRandom="1|0.005,0.008|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100221" Name="Phần trăm phục hồi đánh trúng" Property="LifeStealPercent" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100231" Name="Hiệu quả thuốc" Property="Potion" PropertyRandom="1|0.009,0.011|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100241" Name="DMG hệ hỏa" Property="FireAttack" PropertyRandom="1|60,71|22000$1|72,83|20000$2|86,96|15000$2|98,119|15000$3|122,156|15000$3|158,192|8000$4|194,215|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100251" Name="DMG hệ thủy" Property="WaterAttack" PropertyRandom="1|60,72|22000$1|72,84|20000$2|86,96|15000$2|98,120|15000$3|122,156|15000$3|158,192|8000$4|194,216|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100261" Name="DMG hệ lôi" Property="LightningAttack" PropertyRandom="1|60,73|22000$1|72,85|20000$2|86,96|15000$2|98,121|15000$3|122,156|15000$3|158,192|8000$4|194,217|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100271" Name="DMG hệ thổ" Property="SoilAttack" PropertyRandom="1|60,74|22000$1|72,86|20000$2|86,96|15000$2|98,122|15000$3|122,156|15000$3|158,192|8000$4|194,218|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100281" Name="DMG hệ băng" Property="IceAttack" PropertyRandom="1|60,75|22000$1|72,87|20000$2|86,96|15000$2|98,123|15000$3|122,156|15000$3|158,192|8000$4|194,219|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100291" Name="DMG hệ phong" Property="WindAttack" PropertyRandom="1|60,76|22000$1|72,88|20000$2|86,96|15000$2|98,124|15000$3|122,156|15000$3|158,192|8000$4|194,220|4000$4|218,240|1000" />
  <WenZhangRandomProperty ID="100301" Name="Phần trăm tăng hiệu quả tự động hồi HP" Property="RecoverLifeV" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100311" Name="Phần trăm tăng hiệu quả tự động hồi ma pháp" Property="RecoverMagicV" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100321" Name="Phần trăm Buff DMG vượt trội" Property="Fatalhurt" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100331" Name="Phần trăm lực công" Property="AddAttackPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100341" Name="Phần trăm lực phòng" Property="AddDefensePercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100351" Name="DMG xuyên kích" Property="InjurePenetrationPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100361" Name="Phần trăm Buff DMG nguyên tố" Property="ElementInjurePercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100371" Name="Tỉ lệ miễn vật lý" Property="IgnorePhyAttackPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100381" Name="Tỉ lệ miễn ma pháp" Property="IgnoreMagyAttackPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100391" Name="Kháng đóng băng" Property="DeFrozenPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100401" Name="Kháng tê liệt" Property="DePalsyPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100411" Name="Kháng giảm tốc" Property="DeSpeedDownPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100421" Name="Kháng trọng kích" Property="DeBlowPercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100431" Name="Giảm DMG hiệu quả đặc biệt" Property="SPAttackInjurePercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100441" Name="Giảm DMG Vật lý/Ma pháp" Property="AttackInjurePercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
  <WenZhangRandomProperty ID="100451" Name="Giảm DMG nguyên tố" Property="ElementAttackInjurePercent" PropertyRandom="1|0.009,0.011|22000$1|0.011,0.012|20000$2|0.013,0.014|15000$2|0.014,0.018|15000$3|0.018,0.023|15000$3|0.023,0.028|8000$4|0.028,0.032|4000$4|0.032,0.035|1000" />
</Config>"
